Field of study,University
Projece management,Northeastern University
Computer Science,Northeastern University
Computer Science,Northeastern University
Data Analytics,MIT
Behavioral Neuroscience,Northeastern University
MBA,Harvard Business School
Psychology,Northeastern University
"Electrical and Computer Engineering (Computer Vision, Machine Learning and Algorithms)",Northeastern University
Bioengineering (Cell & Tissue Engg) (UG: Biotechnology),Northeastern University
Computer Science,Northeastern University
International Business and Marketing,Northeastern University
"Applied Mathematics, Machine Learning, Artificial Intelligence",Northeaster University
Biotechnology,Brandeis university
,
Energy Systems,Northeastern University
Speech and Hearing Bioscience and Technology; Bioengineering,Harvard
Computer Science,MIT
MBA - Finance,Tulane University
City Planning,University of Pennsylvania
Computer Science,Northeastern University
Physical Oceanography,MIT
Global Studies & International Relations,Northeastern
Mathematics,Stanford University
Animal Behavior & Conservation (Undergraduate: Neuroscience & Behavior),Hunter College
Management,University of Illinois at Urbana-Champaign
,
Bioengineering,"University of California, San Diego"
International Business and Finance,University of South Carolina
Data Science,Northeastern University
,
,
Business Communication,Baruch College - CUNY
Computer Science,Rice
,
,
Materials Science,Caltech
"Environmental Studies, German Studies",Brown University
Astrophysics,Caltech
Applied Physics,Caltech
Materials Science,Caltech
"Human Development and Psychology, Psychological and Behavioural Sciences",Harvard University
,
Chemistry,Caltech
Real Estate and Urban Land Economics,University of Wisconsin
"International Business, Marketing",Northeastern University
Physics,Caltech
Electrical and Computer Engineering,NYU
Software Development,Boston University
MBA | MSc Business Analytics,Hult International Business School
,
Electrical Engineering,Caltech
,
Global Studies/International Relations,Northeastern University
,
Master Business Administration,Hult International Business School
Business Analytics,HULT International Business School
Operations,HULT International Business School
,
,
Public Health,Boston University
Global Business,Georgetown University
Master in Business Administration,Hult International Business School
Master of Business Administration (MBA),Hult International Business School
Architecture,Boston University
Public Health,MIT/Harvard
International Business & Economics,University of South Carolina
,
,
Aerospace Engineering,California Institute of Technology
Chemistry,Caltech
,
Mechanical engineering,BYU
,
,
Plasma Physics / Artificial Intelligence,MIT
"Robotics, Concentration in Electrical & Computer Engineering",Northeastern University
,
,
Corporate Finance,Audencia Business School
"uncertainty quantification, stochastic and sensitivity analysis of fracture of fiber composite structures, finite element simulation with Abaqus, python, Solidworks",Queen's University Belfast
"international business, business and Management","university of South Carolina, university of London"
Mechanical Engineering,University of Massachusetts Amherst
Aerospace,UCLA
,
Human genetics and Bioinformatics,Washington University in St. Louis
,
Industrial Engineering,New York University
,
MBA,Rice
,
Physics,MIT
International Business,University of South Carolina
Biology,UPCH
Computer Science,Grinnell College
Vocal Performance,The New School
Urban Studies and Computer Science,MIT
,
Business Analytics,Hult International Business School
,
MBA,Hult International Business School
Mechanical Engineering,University of southern mains
,
Electrical Engineering,Northeastern University
Business Administration,Hult International Business School
Mechanical Engineer,Purdue University
Economics with Secondary in Psychology,Harvard
business analytics,Hult international business school
,
Economics,Tufts University
Robotics,University at Buffalo
Financa,Hult International Business School
Civil Engineering,LMU
Master of Divinity,Harvard Divinity School
Economics,Harvard
,
Biomedical Engineering,Harvard
Masters in Finance,MIT
Electrical Engineering,NYU
INDUSTRIAL ENGINEERING,NYU
Chemistry,"University of Texas, Austin"
Business Administration,University of North Florida
Biomedical Engineering,Umass Amherst
"Psychology, Chinese",Harvard
Finance,Hult International Business School
Psychological and Brain Sciences,"University of California, Santa Barbara"
,
International Business and Management,Darla Moore School of Business
International Business,Darla Moore School of Business
Industrial Engineering,UMass Amherst
"Data and Decisions, Accounting, fintech Leadership, Marketing",Hult International Business School
Political Science,Northwestern University
International Comparative Education,Stanford
,
,
Data Analytics,Northeastern University
,
Psychology,Harvard
Computer engineering,UCF
mechanical engineering,NYU
Industrial Engineering,New York University
Politics and Economy,Arizona State University
,
,
Biomedical Engineering,Carnegie Mellon University
,
Systems Engineering and Design,University of Michigan
Management Information Technology,University of Oklahoma
Masters of Business Administration,University of Oklahoma
Mechanical Engineering,Louisiana State University
MBA,MIT
,
"Biology Major, Business Information Systems Minor","University of California, Riverside"
,
,
International Education Policy,Harvard Graduate School of Education
,
Mechanical Engineering,BU
Economics,New York University Abu Dhabi
Electrical Engineering,Boston University
Master of International Business,University of South Carolina; Darla Moore School of Business
Law,Harvard University
Law,Harvard University
Entrepreneurship and Psychology,Northeastern University
Masters in Business Administration,Northeastern University
Publishing & Writing,Emerson College
,
Computer Science and Physics,Northeastern University
Chemistry,MIT
Applied Economics,St. Cloud State University
,
Public Health,Boston University School of Public Health
,
MBA,Hult International Business School
Finances,Hult International Business
,
Computer Science,Harvard
,
Mechanical Engineering,Michigan Technological University
Mechanical Engineering,Northeastern University
Economics,University of Wisconsin
Control; Optimization; AI,Caltech
,
"Medicine, Biology, Radio-Television-Film","Taipei Medical University, The University of Texas at Austin"
Sustainability in the Built Environment,University of Florida
Master in Public Policy/BA in Public Policy Analysis/Politics,HKS
Systems Engineering,Michigan Technological University
Economics and Psychology,Harvard
Physics,Franklin & Marshall College
Communication,Cornell
European Studies,William and Mary
,
Linguistics,Rutgers University
,
Computer Science,Dartmouth College
Master of Business Administration,University of Massachsetts
"Advanced Analytics, Supply Chain Management",MIT
Astrophysics,JPL/Caltech
MBA Stem Business Analytics,Hult International Business School
"Masters, Cybersecurity",Northeastern University
Linguistics,"University of California, Santa Barbara"
,
Mathematics and Music,Indiana University
,
Project Management,Northeastern University
,
,
,
,
,
Planetary science,Caltech
Economics,NYU
Architecture,MIT
Data Analytics Engineering,Northeastern University
Computer Engineering,New York University
,
International Relations: Culture and Politics,Georgetown University
,
Master  in Corporate Communication & Master in Sciences and Technology of Information and Communication,Université libre de Bruxelles
,
"International Relations Major, Business Minor",New York University
Engineering Management,Duke
Mechanical Engineering,METU
Media and Cultural Studies,MIT
Economics and Business,NYU
Electrical and Computer Engineering,New York University Tandon School of Engineering
"International Relations (BA), future: Linguistics (University of Amsterdam, MA), JD",NYU
Aerospace Engineering,Virginia Tech
International Relations and German,New York University
Law,NYU
"Economics, Global Liberal Studies (concentration in Politics, Rights & Development)",NYU
Computer Science,Yale University
,
,
Integrated Marketing,New York University
Politics,NYU
Business and Political Econ,NYU
ITP,NYU
Economics and Mathematics,NYU
Economics and Quantitative Social Science,Dartmouth College
Computer Science,NYU
,
,
Computer Science,NYU
MA of Translation and Interpreting,NYU
,
Biostatistics,NYU
"Masters of Urban Planning, Bachelors of Linguistics, French and Russian",NYU
Politics,NYU
Computer Science,NYU
,
"International Education Development, Peace/Conflict Studies",NYU
Double Major in French and Business and the Political Economy,NYU
Human Developmental and Regenerative Biology,Harvard
,
"Law, French, and Italian",The University of Texas School of Law / New York University
Computer Science,NYU
Music Business,NYU
"Media, Culture, and Comms & History (Double Major)",NYU
Management of Technology,NYU
,
,
,
,
,
Economics,New York University
Geophysics,"Jet Propulsion Laboratory, Caltech"
Individualized Study (Music Production and Industry),NYU
,
Geography,SUNY Geneseo
International Relations,NYU
Finance and Data Science,NYU
Occupational Therapist,NYU
Computer Science & International Relations,Brown University
Individualized Study,NYU
MS Executive Coaching and Organizational Consulting,NYU
International Relations and Economics,NYU
Real Estate Development,New York University
"Economics and Mathematics, Data Science",NYU
Global Affairs,NYU
Education and Social Policy,NYU
,
Economics Math/Computer Science Minor Business studies Minor,NYU
Electrical Engineering,NYU
,
Neurorehabilitation,Harvard
Publishing and Writing MA,Emerson College
"Politics, Rights & Development, and Environmental Sustainability",NYU
,
,
"Economics, Business Studies",New York University
Business and Political Economy,NYU Stern
,
Management,Harvard
,
,
Integrated Marketing Communications,New York University
,
,
"Medicinal Chemistry, Biological Engineering",MIT
Biology,WSU
Computational Physics / Material science,Harvard
Brain and Cognitive Sciences,MIT
Computer Science,MIT
Computer Engineering,New York University
Political Economy,New York University
Health Informatics,IUPUI
Applied Mathematics,Brown University
Data Science,"University of Minnesota, Twin Cities"
"Urban planning, biostatistics",University of Washington
Biostatistics,University of Washington
Public Health,New York University
MBA,MIT
,
International Studies,UW
,
International Studies,University of Washington-Seattle
Finance and International Business,University of Washington
"Double Major in International Studies, and in Near Eastern Languages and Civilization (Persian). Minor in Mathematics. Minor in Russian Language.","University of Washington, Seattle"
Journalism and English,University of Massachusetts Amherst
International Studies,University of Washington
International Studies: European Studies,University of Washington
,
Data Analytics and Visualization,NYU
Aerospace Engineering,NASA JPL
International Education Policy,Harvard
Computer Science,University of Washington - Seattle
,
"Masters of Public Policy, specialty in labor and political economy",Harvard Kennedy School
"International Studies, concentration in Western Europe",University of Washington
"Business (Finance), Law and Society, Mathematics",NYU
Mechanical Engineering,Olin College of Engineering
International Studies and Economics,University of Washington
Economics,Stanford University
,
MBA,HBS
"Biomedical Sciences, Global Health, Bioinformatics",Arizona State University
,
Applied Physics,Stanford University
,
Social Policy; Environmental Policy; Neuroscience,Northwestern
BioEngineering,Harvard University
,
,
Biological Engineering,MIT
"MBA, Digital Technology",Boston University
International Relations,American University
Economics,Northwestern University
European Studies,University of Washington
Publishing & Writing,Emerson College
Business Administration,Tulane University
MBA,HBS
Computer Science,Northwestern University
Geography GIS,University of Washington
,
International Relations,NYU
,
CS,MIT
,
,
"European Studies, History",MIT
,
Social Policy,Northwestern University
MS in Finance,Northeastern University
Electrical Engineering,Harvard University
Economics and Computer Science,University of Virginia
Biosciences,Vanderbilt
computer science and economics,nyu
Electrical engineering,University of Massachusetts Lowell
,
Civil Engineering,Rutgers University
,
International Business and Marketing,SUNY New Paltz
Physics,Queen Mary University of London
"Art History, Global Studies",Colby College
Global Affairs,NYU
,
Computer Science and Health & Human Biology,Brown University
,
,
International Studies,University of Washington
,
,
,
,
,
,
,
"Computer Science, Mathematics",MIT
,
,
,
,
,
,
,
,
,
"Economics, International Relations",University of Washington
Psychology,NYU
Real Estate Development,NYU
,
Finance,Hult International Business School
,
,
,
,
,
,
Electrical/Electronic Engineering (BSc.); MBA,"Rotterdam School of Management, Erasmus University"
,
Kinesiology,Cal Lutheran / Moorpark College
MBA,Harvard Business School
,
Accounting,MIT
,
Aerospace Engineering,University of South Carolina
International studies,MIT
,
Physics and Computer Science,Wellesley College
Psychology Major and Media/Film + Philosophy Minors,Suffolk University
Materials Science and Engineering,Northwestern University
,
Synthetic Biology,Caltech
"International History, BSFS",Georgetown University
Computer Science and Engineering,MIT
Business Administration with concentration in Marketing,Southern New Hampshire University
Business Administration,Harvard
Social Science,MIT
European and Mediterranean Studies,NYU
International Economics and Finance,Brandeis International Business School
Computer Science and Economics,Dartmouth College
Geography/ Anthropology,University of Central Arkansas
,
Civil and Environmental Engineering,MIT
History and Computer Science (potential minor in International Affairs),Skidmore College
International Relations,Boston University
,
,
,
"Global Affairs, Refugee Studies, Migration, Transnational Security, International Development, International Law, Human Rights, International Political Economy, Refugee Public Health, International Relations, Analytical Skills, Conflict Management, Political Affairs, Management Sciences, Program Management.","New York University, DePaul University"
Applied math,Unc
Business Administration,Guidehouse Inc
Social Work,NYU
Statistics,University of Florida
Control Systems,Delft  University of Technology
Physics,Stanford University
Computer Science and Engineering,MIT
Chemical Engineering,Tufts
"Global Liberal Studies (Politics, Rights, and Development)",New York University
,
,
,
,
Biophysics/ Entrepreneurship,Brown University
Mechanical Engineering,University of Massachusetts Amherst
,
,
,
Bioengineering,"University of Maryland, College Park"
Computer Science,Northwestern University
International Relations and Philosophy,Boston University
,
BA in Mathematics with minor in Studio Art,University of Wisconsin Milwaukee
Real Estate,NYU
Psychology,Brown
Data Science,Harvard University
Business,Brandeis
Mechanical Engineering,University of Texas at Arlington
"mechanical engineering, biomedical engineering",MIT
Data Economics Development Policy,MITx
Master of Public Health,Harvard
Politics,New York University
First year in French language in university license,MIT
Space Systems Engineering,Johns Hopkins University
,
,
Microbiology and Cell Sciences,University of Florida
Law,NYU
Global Public Health & History,NYU
Pharmacology and Toxicology,University of California-Davis
,
Math and Computer Science,NYU
Epidemiology,New York University
,
Chemical Engineering/Bioengineering,NEU
Biology,Bryn Mawr College
Electrical Engineering,University of Michigan
Geology,Caltech
,
Chemistry,Southeastern Louisiana University
"International Education: International Development and Education/Peace, Conflict, and Humanitarian Action, Social Work",NYU
MDes - Design Innovation (Human centered Design),Massachusetts College of Art and Design
Undecided,NYU
International Relations,NYU
Mechanical Engineering Product Design,MIT
Electrical Engineering | Computer Science minor,New York University
Neuroscience,University of Amsterdam
Aerospace Engineering,University of Colorado Boulder
,
"Global Studies, German, Forestry, Botany",UCSB
Bioengineering,UPenn
,
,
,
,
,
,
Business and Technology Management,New York University
,
,
,
"Mechanical Engineering, Mathematics",MIT
,
Neuroscience (prospective),Wheaton College Massachusetts
,
,
Health Sector Management & Strategy,Boston University Questrom School of Business
Government,Dartmouth
,
History and International & Global Studies,Brandeis University
,
,
,
,
,
,
,
,
,
,
"Chemistry, Economics",University of Massachusetts Amherst
MBA,Hult International Business School
Global Affairs,New York University
,
MBA,American University
Architecture,CMU
Mechanical Engineering,"University of California, Berkeley"
,
,
Biology,Harvard and MIT
,
Business Law / Antitrust Law,Harvard Law School
Master of Laws (LL.M.) candidate,Harvard
,
"Corporate Law, Capital Markets",Harvard Law School
MBA,MIT Sloan School of Management
Economics,Wellesley College
Neuroscience,Harvard
,
Biological and Biomedical Sciences,Harvard
"Political Science, International Studies",Northwestern
,
computer science,new york university
Economics,Brown University
,
,
Humanities,Princeton University
Polymers science and engineering,Azad university
Chemical Engineering,"UMass, Amherst"
,
Economics,University of Missouri
,
Data Science,NYU
Design Engineering,Harvard University
Physics,Case Western Reserve University
,
Embedded Systems,TU Eindhoven
Electrical Engineering and Computer Science,MIT
Biomedical Engineering,Harvard
Chemical and Biomolecular Engineering,NYU
Social Work,NYU
Public Policy and Public Administration,Harvard Kennedy School
"Global Liberal Studies (Politics, Rights, & Development)",NYU
International Relations,New York University (NYU)
"Medicine, Law, Psychology","University of Amsterdam, University of Freiburg, University of Witten/Herdecke"
,
Electrical Engineering,Johns Hopkins
Digital Marketing,University of Toledo
History of Art and Architecture & Literary Arts,Brown University
Neuroscience and Business,Brandeis University
,
Electrical and Computer Engineering,Purdue
"Electrical Engineering, Master of Business Administration",NYU
Aerospace Engineering,University of Illinois at Urbana-Champaign
,
,
,
CS,Stanford
BS Computer Science,University of Minnesota — Twin Cities
XX,Helmholtz
History,University of Oregon
,
,
,
,
,
"Political Economy, International Studies, Near Eastern Languages and Civilizations",University of Washington
,
,
,
,
,
Digital Business,MIT
,
,
System engineer,Boston University
International Affairs,Fletcher School of Law and Diplomacy
"Corporate Law, Economics, Antitrust/Competition Law, and Law and Technology (Digital Privacy)",Harvard University
,
,
,
,
,
,
,
,
,
Global MBA,Hult International Business School
,
,
,
,
,
Business administration,University of Illinois Urbana Champaign
,
,
,
,
,
,
MBA and Master's in International Marketing,Hult International Business School
,
,
,
Electrical Engineering,Arkansas State University
,
Computer Science,Yale
,
,
,
,
,
,
,
,
,
,
,
,
,
Mechanical Engineering,Howard University
,
,
,
,
"Political Science (BS), History (BA)",Arizona State University
Master of Business Administration,"Duke University, Fuqua School of Business"
Chemical Engineering,RPI
Electrical engineering,University of Bridgeport
"Major: Economics, Minor: Finance",New York University
,
"Physics, EECS",MIT
Electrical Engineering,Clemson University
Mechanical Engineering,"California State University, Long Beach"
"Biomedical Engineering, Materials Science and Engineering",Boston University
,
Computer Science,Boston University
,
,
Environmental Engineering,University at Buffalo
Computer Science,MIT
Mechanical Engineering,University of Texas
International Relations,NYU
"Biochemistry, Biology, Oncology",Harvard
MBA,Duke
International Relations,Tufts University
,
Cybersecurity & Fintech,Northeastern University
,
Aerospace Engineering,University of Minnesota
,
,
Business Administration and Management,Dartmouth
,
Computer Science and Engineering,MIT
Mathematics with Computer Science,MIT
International Business,Mount St. Mary’s University
CS,Tecnológico de Monterrey
Mechanical Engineering,TCU
Global Affairs,NYU
,
B.S university of Maryland ‘14. Current MBA candidate and M.S biotechnology at Johns Hopkines,Johns Hopkins
,
,
,
Maths,Charles University
Mathematics and Linguistics,New York University (NYU)
,
,
MBA - Supply Chain,Moravian College
Finance and Accounting,Northeastern University
FinTech and Accounting,Northeastern university
"MS Finance, JD Law",Northeastern Universirty
,
Psychology,Dartmouth College
Environmental Studies and International Affairs,Northeastern University
Comparative Literature,Dartmouth College
Computer Science and Design,Northeastern University
,
Polymer Technology,IIT Kharagpur
Computer Vision and Signal Processing,Northeastern University
Economics,MIT
"International Affairs and Politics, Philosophy, Economics",Northeastern
Political Science,Northeastern University
Undecided,New York University
,
"Computer Science, Linguistics, Hispanic Studies",Brandeis University
Biochemistry,Northeastern University
Master of Business Analytics,MIT
,
Electrical Engineering,New York University
Computer Science - Economics,Brown University
Computer Science,UCLA
Computer science,Boston University
,
Artificial Intelligence,Northeastern University
Business data analytics,Maryville University
,
Aeronautics and Astronautics,Purdue University
Computer Engineering,New York University
Mathematics,College of Marin
Media Arts Production,Emerson
Biostatistics and Epidemiology,BUSPH
MBA,American University
,
Master of Business Administration (MBA),Boston College
,
Data Analytics,Northeastern University
Geology,Caltech
,
Computer Science,Northeastern University
,
Global studies,Northeastern
,
Aerospace Engineering,The Ohio State University
Theater,Bard College
International Relations,IE University
Computer Science,WPI
Electrical Engineering,University of Massachusetts Dartmouth
,
Epidemiology and Biostatistics,BU
Nursing,Saint Francis College
History & Russian Studies,Miami University
Computational and Systems Biology,"University of California, Los Angeles"
,
Computer Science,"University of California, Berkeley"
,
,
Finance,Hult
Sustainability,The Ohio State University
Informatics and Management,TUM
Mathematics of Computation,UCLA
Biomedical Engineering,Tulane University
Mechanical Engineering,Purdue University
Civil and Environmental Engineering,University of Wisconsin-Madison
Intended double major in Biostatistics and Mathematics,Emmanuel College
,
,
,
,
Architectural Sciences,Rensselaer Polytechnic Institute
International Relations,Penn State
Applied Mathematics-Economics,Brown University
electrical/biomedical engineering,university of pennsylvania
International Affairs and Cultural Anthropology,Northeastern University
Electrical Engineering and Computer Science,MIT
"B.S. Marketing Analytics, B.S. Finance",University of Idaho
Mechanical Engineering,Olin College of Engineering
Bioengineering,UCSD
Computer Science,NYU
PharmD,MCPHS
,
,
Computer Science / Physics,University of Pennsylvania
"(past) BS & MSc in Electrical Engineering, (current) MBA & MS in Environment & Resources",Stanford
,
"Atmospheric Physics , Particle Physics",MIT
"Chemistry, Chemical Biology, Synthetic Biology",Columbia University
,
Economics and Business Studies,NYU
Marketing,MIT
,
Civil Engineering,New York University
,
Urban Planning,NYU
Mechanical Engineering,University of Kansas
,
Real Estate,New York University
Computer Science,Stony Brook University
Engineering Management,Northeastern University
,
,
Electrical Engineering,Georgia Institute of Technology
Strategic Fundraising and Philanthropy,Bay Path University
Immunology,"Harvard, Brigham and Women’s Hospital, Broad Institute of Harvard and MIT"
Managerial Psychology,Providence College
"Electrical Engineering, Computer Engineering (Dual Major/Degree Program)",Boston University
Materials Science and Engineering,University of Pittsburgh
Art History & English (dual major),University of St Andrews
Mechanical Engineering,Boston University
Bioengineering,Stanford University
,
Computer science,University of Florida
,
Aerospace Engineering,"California State University, Long Beach"
,
Project Management,Northeastern University
Mechanical Engineering,UMASS LOWELL
,
Biomedical Engineering,BU
,
,
Criminal Justice; Communications,Liberty University
"Data Analytics, Supply chain",Northeastern University
Immunology,HMS
,
Applied Math,Harvard
Economics,Amherst College
Political Science,Columbia University
Computer Science,Harvard
,
,
Political Science and German,University of Vermont
Engineering Management,Pennsylvania State
,
Electrical Engineering (Engineering Science),University of Toronto
Electrical and Computer Engineering,"SUNY, Oswego"
International Relations,AUB
Data Analytics Engineering,George Mason University
,
,
,
Public Administration,Harvard Kennedy School
,
Global Studies,Arizona State University
Mathematics,"California State University, San Marcos"
,
Biomedical Engineering,Worcester Polytechnic Institute
MBA,Auburn University
,
MBA,Rice University
Computer Science (Specialization: Artificial Intelligence),University of Tartu
"Global Affairs, Concentrating in Economics, Governance, and International Development",George Mason University
Human-computer Interaction / Computer Science,MIT/Harvard
CSE and AMS,Stony Brook
"Economics, Business",Brandeis University
Journalism,MIT
,
,
,
,
,
Visual Media Arts Production,Emerson College
Urban Studies and Planning,University of Illinois at Urbana Champaign
,
,
Business and Technology Management,NYU
,
Art History,NYU
,
Interactive Telecommunication Program,New York University
,
Social Impact Design,New York University
Mechanical Engineering,Michigan Technological University
Social work,NYU
,
"Finance, Econometrics & Quantitative Economics",New York University- Stern School of Business
Politics,NYU
Computer Science,WGU
Computer Science,Northeastern University
Management,Georgetown University
Psychology,NYU
,
"Information System, Computer Science",New York University
Linguistics,Stanford University
,
Master of Public Administration,New York University
,
Finance,Hult International Business School
Finance,Boston College
"Neuroscience, Biology",University of Cambridge
,
World Politics,Ohio state university
Math,Wellesley College
,
,
International Development,Chulalongkrn University
,
"Aerospace Engineering, Robotics",Stanford University
Chemical Engineering,Stanford University
"Mathematics, Computer Science",Amherst College
"(Past) Physics and Classics (current) Climate Change, Management, and Finance",Wellesley College Alumnae and Imperial College London student
Business,Harvard
,
Physics BA & Philosophy BA,University of Minnesota
"Statistics, Mathematics",MIT
law,Harvard
Real Estate Finance and Development,New York University
,
,
,
Global Affairs,NYU
,
Mechanical Engineering,MIT
Urban Planning,New York University
Mechanical Engineering,North Carolina State University
Management of Technology,New York University
,
Math and Computer Science,Wellesley College
Data Analytics; Finance,Boston College
Cognitive Science,Brown University
"Applied Math, Economics, & Computer Science",Harvard
"Legal Studies, Law, International Law",Quinnipiac University School of Law
,
,
Civil Engineering,Carnegie Mellon University
Medical Biology- molecular biology-Biomedical Anthropology-Biology- Medical Testing/tech,MIT and USF
Computer Science & Computer Engineering,Northeastern University
"Political Science, Comparative Literature, Music Theory & Composition",NYU
Mechanical Engineering,Auburn University
Computer Engineering,NYU
"Mathematics, Physics",MIT
Environmental Sciences,Portland State University
Global Affairs,New York University (NYU)
Mechanical Engineering,Carnegie Mellon University
"Chinese Language, French Language, and Mathematics",Wofford College
Computer Science and Linguistics,Brown University
Chemistry,Boston College
Mechanical Engineering; German,University of Connecticut
"Media, Communications, and Culture",NYU Steinhardt
Philosophy; Economics,Williams College
Mechanical & Aerospace Engineering,WPI
,
,
,
,
,
,
,
,
,
,
,
Education Policy,Stanford University
,
Mathematics,Mount Holyoke College
Film and TV Production,NYU
Classics,Harvard
Sciences,PSL
,
,
,
International Politics,Belmont University
Electrical Engineering,NYU
International relations,NYU
Environmental informatics,MIT
,
Mechatronics Engineering,MIT
Public Health,Harvard School of Public Health
"Civil and Environmental Engineering, Hydrology, Hydroclimatology",MIT
Master of Global Business Administration,Tufts
Chemical and Biomolecular Engineering,UPenn
Computer Science,Boston University
Computer Engineering,Boston University
,
physics,Universidad Industrial de Santander
Biomedical Engineering,Virginia Tech
Human Factors Engineering,Tufts University
Economics & Finance,Bentley University
ECE,MIT
Environmental Sciences,North Carolina State University
,
Game Design,NYU
Mechanical Engineering,Boston University
Bioengineering,Stanford
"Biomedical Informatics, Chemical & Biomolecular Engineering",Stanford University
Biomedical Engineering,UMass Lowell
Computer science,University of Maine
Engineering Management,Northeastern University
Global Affairs,NYU
International Law and Peacebuilding,Georgetown University
Data Analytics,Northeastern University
Computer Engineering,New York University Abu Dhabi
,
Social Work,Columbia University
Clinical Psychology,Harvard
Master of Science in Social Work,Columbia University
Political Science and Economics,New York University
Sociology,Bridgewater State University
Interactive Telecommunications,MIT
Business and Finance,MIT
,
Public Health,NYU
History; Science and Technology Studies,Cornell
EECS & Physics,MIT
Management and Systems - Enterprise Risk Management,NYU
"Food Studies, Economics, French",NYU
Electrical and Computer Engineering,Olin College
Pharmacological Sciences,Stanford University
"Human Security, International Organisations",The Fletcher School
,
"Microbiology, imaging science",RIT
Structural Engineering,"University at Buffalo, New York"
Urban Infrastructure Eng,NYU
"Chemistry, microbial ecology",MIT
,
Management and system,NYU
"Public Health- Health and Social Behavior, Sociology, Social Work",T.H. Chan School of Public Health
,
"History, Comparative Literature",New York University
,
,
Business Administration and Management,University of Debrecen
Electrical Engineering,"University of Maryland, College Park"
,
,
"Biology, German Studies",Stanford University
Chemical Engineering,MIT
6-7,MIT
Finance,Hult International business school
Electrical Engineering and Computer Science,MIT
,
Mathematics,MIT
Social Work,Columbia University
Politics,New York University
"Mechanical Engineering, Engineering Management",Illinois Institute of Technology
"International Management, Marketing, Quantitative Management",NYU Stern
,
International Relations,Boston University
,
"Finance, Accounting & General Management",New York University
Physics,MIT
"International Relations, Women's & Gender Studies, Arabic",BU
,
Data Science and Mathematics,New York University
M.S. in Management and Systems,New York University
Law,NYU
,
International Economics,Georgetown University
"Statistics, Spanish",Amherst College
Public Policy and Management,NYU
,
Business,New York University
BSE Aerospace Engineering,University of Michigan
,
"Media, Psychology, Technology and Design",NYU
Business Analytics & Information Systems,USF
medicine,MIT
,
Computer Science,Northeastern University
Informatics,TUM
Business and media,NYU
,
,
,
,
,
,
,
,
Sioux Technologies,Sioux Technologies
,
,
,
,
,
,
"Management, German, Finance, Operations Management",Boston College
Biomedical Engineering,Dartmouth College
,
WING,HdM
,
Political Science,Rhodes College
Data Science,"University of California, San Diego"
,
,
,
,
Music Business,New York University
,
,
,
International Marketing,Hult International Business School
,
,
,
,
Political Science,NYU Abu Dhabi
International Relations,Mount Holyoke College
,
Global Health / Psychology,Arizona State University
Mechanical Engineering,Georgia Tech
,
Cognitive Brain Sciences & Art History,Tufts University
,
Environmental Studies,Brandeis University
,
political economy,Georgetown University
English,Dartmouth College
Materials Science and Engineering,Cornell University
,
Biology,Brandeis University
Individualised Study,NYU
"Strategic Marketing Communications, Neuroscience",Emerson College
Mechanical Engineering,MIT
Computer Science and Mathematics,Mount Holyoke College
Marine Biology and Chemistry,Roger Williams University
Economics and Anthropology,Brandeis University
Computer Science & Biological Physics,Brandeis University
"Engineering, Aerospace Engineering",University of Maryland
,
,
Applied Psychology,NYU
Masters in Emergency & Disaster Management,Georgetown University
"Biology, Public Health",MIT
"Electrical Engineering, Artificial Inteligence, Machine Learning, Optimization",Sharif University of Technology
Public Relations,Emerson College
MBA,MIT
Biochemistry and Genomics,Cornell University
,
Bioethics,Johns Hopkins Bloomberg School of Public Health
Computer Science,NYU
History of Architecture,Harvard
Mathematics,NYU
,
"Chemistry, Statistics",Harvard
Management Information Systems,Stonehill College
Education Policy,Harvard
Computer Science,ETH Zurich
,
Government,Harvard
International relations,USC
International Relations,Boston University
Mechanical Engineering,NYU
,
Biomedical engineering,Columbia University in the City of New York
Industrial Engineering Technology,Purdue University
Science and Technology in International Affairs,Georgetown University
Mechanical Engineering,Caltech
,
,
,
"Bachelor of Technology, Master of Technology Management, Master of Education (Technology, Innovation & Education)",Harvard
Chemical and Physical Biology,Harvard
,
,
,
,
,
,
,
,
,
,
,
Civil Engineering,UMass Amherst
Computer Science and Engineering,UC Davis
Master of Business Analytics,MIT
Economics,Mount Holyoke College
16,MIT
,
Microbiology,University of Puerto Rico at Mayaguez
Systems Engineering,Boston University
Master's in Engineering Management,Duke University
,
"Political Science, International Affairs,",University of Maine
"Master in Computer Science, Master in City Planning",MIT
Chemical Engineering,Northeastern University
Medical Genetics,Tulane University
Political science,Columbia university
Environmental Engineering,"University of Maryland, UMD"
Environmental Studies and French,NYU
,
Neuroscience,Harvard University
"Physics, Teaching Science, Education Policy",Florida State University
Economics,Stanford. University
"Master Business Administration, Master Public Health, Epidemiology of Infectious Disease, Management",Yale University
,
,
Master of Business Administration,Johns Hopkins University
Mechanical Engineer,UMASS Lowell
,
Business Administration,University of Southern California
Math: Statistics and Data Analytics,Emmanuel College
"Economics, Data Science",NYU
Computer Science,New York University
"Electrical and Computer Engineering, specialization in RF, microwave and mmWave devices",NASA/JPL-Caltech (USA) and University of Waterloo (Canada)
Economics,Wellesley College
Mechanical Engineering,"California State Polytechnic University, Pomona"
"Physics, Chemistry",Brandeis
Cultural Studies,Dartmouth College
Electrical and Computer Engineering,United States Air Force Academy
Master Degree in Automotive Production,Technical University of Kosice
,
,
,
,
"Geoscience, Engineering",University of Kiel
